一行出去就係泳池，再行出啲就係沙灘。	一行出去就係泳池，再行出Ｄ就係沙灘！
佢驚慌過度暈咗。	她害怕得暈過去了。
唔自然	有些小病
我係「我要攬炒」	我是「我要攬炒」
妗母	舅母
誒，如果講話邊度最好玩，或者，或者講邊度最剋我憎先喇，就係意大利喇。	淘氣，如果說話哪裏最好玩，或者，或者說哪裏最克我討厭了，就是意大利了。
不憤氣	氣憤難平
佢一知男朋友唔記得佢嘅生日，就嘴𠴕𠴕噉。	一知道男朋友忘記了她的生日，她就那樣抿唇表示不悅。
倒吊眼眉	眉梢向上吊起
佢去咗睇醫生	他看病去了
但係您可以創造屬於自己嘅反饋環 。	但是你可以創建屬於自己的反饋環 。
鬆啲	多些
然後 ， 我幾鬼馬嘎 我將個 「 i 」 變成感嘆號 同變成紅色 搞掂 ： 「 圖書館計劃 」	然後 ─ ─ 這是因為我很聰明 ─ ─ 把它放到字母 「 i 」 那裡 ， 把它換成紅色 ， 好了 ， 圖書館計劃完成 。
接受集訓	接受培訓
成個月冇見，有冇掛住我呀？	整個月不見，有沒有惦記我？
金融業係香港最重要嘅經濟支柱。	金融服務業是支撐香港經濟最重要的支柱。
首度	首次
我聽日去行黃牛山	我明天去走黃牛山
不動搖	不動搖的
啤	焊接
夠鐘翻學啦喎，仲唔起身？	到時間上學了，還不起來？
水魚	鱉
你告我哋唔入㗎喎	你告不倒我們
都有成三十年㗎喇。	都有三十年了。
我哋已經無時間嘞	我們已經沒有時間了
而係病人自認為嘅能動性 。	而這個動機應該是人們自己的主觀能動性 。
我哋拍咗廿年拖喇，究竟幾時佢先同我求婚？	我們已經約會將近二十年了。 他打算什麼時候去？
我仲未諗好副手嘅人選。	我還沒有決定誰來當我的助手。
佢做得零舍快	他幹得特別快
煲冇米粥	做無米之炊
我尋日拎咗屋企啲水喉水去做化驗。	我從我的住處取了一些水樣到實驗室進行測試。
ei1…	ei1...
洗完頭，頭髮真爽	洗過頭，頭髮真軟滑
兩公婆冇仔生，結咗婚成二十幾年，叉燒都冇嚿。	夫妻二人一直沒有兒子，結婚二十多年，連一個孩子都沒有。
呢個局好難拆。	這很難解決。
你唔食算數。	如果你不吃，那也沒關係。
咁多呀？	這麼多啊？
善良	善良的
無啦啦	裸露的（不恰當）
佢飲咗幾樽啤酒之後，就開始打𠰲。	喝了幾瓶啤酒後，他開始打嗝。
係𡃉咩？	是嗎？
佢嘅小説喺美國大受讀者追捧。	他的小說深受美國讀者的喜愛。
要吃夠體力才能支持	要喫夠體力才能支持
股市冧咗有乜好怕喎，天跌落嚟當被冚，咪重新嚟過囉。	股市危機？ 沒什麼。 別緊張！ 最糟糕的是我們重新開始！
以前英軍喺牛尾海一帶操炮，影響滘西漁民嘅生計。	謝爾特港周圍地區曾經是英軍的靶場。 滘西漁民的生計受到影響。
係電子儀器來𡃉分分鐘。	是電子儀器來掄隨時。
坐車尾好扽	坐在車後部非常顛簸
就冇事嘞跟住就。	就沒事了接着就。
睇開	正在看
分局	分店
分離運動	分離主義運動
先父係舊年過身嘅。	我已故的父親去年去世了。
唔使理佢	沒必要關注他
佢喺報紙嘅副刊寫散文。	他為報紙副刊寫散文。
做低兩個壞蛋	幹掉兩個壞蛋
想養狗嘅話，牧羊狗係一個唔錯嘅選擇。	如果你想養一隻寵物狗，牧羊犬是個不錯的選擇。
系數	係數
贊	稱贊
攬身攬勢	摟摟抱抱
沒法告訴你怎樣能避過這種陷阱	沒法告訴你怎樣能避過這種陷阱
一至四十九號既彩色號碼球	一至四十九號既彩色號碼球
想唔學廣東話都唔得	想不學廣東話也不行
新粉嶺裁判法院大樓	新粉嶺裁判法院大樓
我哋要貫徹自己嘅理想！	我們要貫徹我們的理想！
快啲趷路！	快點滾蛋！
我冇可能叫兩個人合作 ， 佢哋就會合作	我不能簡單地指示兩人合作 ， 然後他們就合作 ，
佢演戲七情上面，乜嘢角色都做得好。	他是一個富有表現力的演員，能勝任任何類型的角色。
越南社會主義共和國主席係越南國家元首。現任國家主席係阮富仲，喺2018年10月23號就任，頂替病死嘅陳大光，任期至2021年。	越南於第一屆國會至第六屆國會設立越南社會主義共和國主席，在越南簡稱“國家主席”，作為名義上國家元首的職務。第七屆國會至第八屆國會不設國家主席職務，由國務委員會主席代表集體國家元首。第九屆國會起恢複以前做法，繼續設立國家主席職務。
佢飲酒飲到個人迷迷糊糊。	他喝到他的感官變得非常混亂的程度。
呢舊石好圓潤。	這塊石頭光滑圓潤。
電話投注服務暫停	電話投注服務暫停
幾毫子數尾就唔使計喇	幾毛錢零數就別算了
而探測器又只有幾噸重	小行星的引力會吸引探針 , 同時探針只是一個幾頓的很小引力的物體 。
遲早	早晚
呢擔嘢一便輕一便重，唔戥頭	這挑東西一頭輕一頭重，不平衡
開晒	猜拳用語
哩個物理治療𡃉。	這個物理治療。
今日我會同大家做一個屬於重心轉移嘅實驗	今天我會跟大家做一個屬於重心轉移的實驗
聽日晚市堂食恢復返	明天晚市堂喫恢復回來
提取銀行存款	提取銀行存款
平日我都會食兩片白方包做早餐嘅。	在平常的一天，我早餐總是吃兩片白麵包。
紅	紅色的
用個煮食爐煲粥好容易滾瀉。	如果用煤氣爐煮粥，很容易溢出。
醫生啱啱出咗去睇病。	醫生剛剛離開去檢查病人。
力駁	有力
我唔鍾意食二手煙。	我不喜歡暴露在其他人的香煙煙霧中。
二零二零年第一季度物價指數	2020年一季度CPI
有冇攪錯？	是不是弄錯了？
有味笑話	骯髒的笑話
中默	中文默寫
度	度數
一陣間我會煲飯。	一會兒我去煮飯。
感慨萬千	充滿憂鬱
佢講親嘢都係陰聲細氣	他說話經常都是小聲小氣的
好着	很正確
小學部係全日制，總共開設36班（小一6班 小二、小三各7班 小四至小五級各6班 小六5班），學生人數大約係1400人，老師61個。	小學部為全日制，共開設36班（小一6班 小二、小三各7班 小四至小五級各6班 小六5班），學生人數約為1400人，教師人數61人。
邊度都係一式	哪裡都是一樣
大家爽手啲，做完早啲收工	大家利索點兒，幹完早點兒收工
唉。日本唔係去到唔好食魚生。費事等陣呢-ei1好似嗰次日本咪好-死咗好多人𠸏。係唔係大腸桿菌？定乜嘢啊？	唉。日本不是去到不好喫生魚片。懶得等一下呢-ei1像那次日本就好-死了很多人嫋。是不是大腸桿菌？還是什麼啊？
噉佢做乜嘢啊？你-你叫佢提議揾阿郭富城，噉佢有冇啋你啊Raymond？	他爲什麼啊？你-你叫他提議找阿郭富城，他有沒有呸你啊Raymond？
唔好成日使埋晒啲污糟邋遢嘅招數	別成天耍這些卑鄙下流的花招
隻手錶𢱕咗落地	手錶掉在地上
政府係咁放寬橋躉沉降標準。	政府不斷放寬橋塔沉降標準。
節目片頭曲同電臺版一樣。電視版《新聞天地》2016年4月2號起喺港臺電視31同31A播放，每日22:30播出。	節目片頭曲與電臺版相同。電視版《新聞天地》2016年4月2日起於港臺電視31及31A播放，每天22:30播出。
老實講，我真係唔識講價	說實話，我真的不懂得討價還價
phy chem bio	物理學、化學和生物學
爭天共地	別若霄壤
讕	自以為
牙力	口才
好政治正確噉講，就梗係話男女平等啦，但去到現實生活，咪又係要求返有紳士風度。	說得政治正確，男女平等是必須的，但在現實生活中，紳士風度還是普遍被要求的。
媽！你有冇事啊？	媽媽！ 你還好嗎？
豬柳強	豬柳強事件、豬肉加工事件
扇葉急速轉動。	刀片快速旋轉。
金髮女孩行入屋時就一口咬定咗個答案	金髮女孩走進屋的時間決定了 故事的答案 。
你去留學嘅事，有冇聲氣啊？	你有出國留學的希望嗎？
我要畀妳挑戰權威 .	我要讓你挑戰權威
華虹半導體	華虹半導體
我哋三個由細玩到大，佢嘅為人係點，大家心照啦！	我們三個人從小到大一直在一起玩耍。 那麼他的性格怎麼樣，不用說大家都心知肚明。
沙士期間醫務人員無私嘅奉獻，令人非常感動。	非典時期，醫護人員無私奉獻的精神令人感動。
慢慢搣	省著用
天才係百分之1嘅靈感同百分之99嘅汗水。	天才是百分之一的靈感加上百分之九十九的汗水。
除非	除非的
會	會將
看低	看小了
前列腺	前列腺腺體
想我畀錢你去賭？冇得傾！	要我借錢給你賭？ 我什至不想討論它！
一樂也	安樂
外骨骼	外骨骼、外骨骼裝置
喺每一層玻璃上面畫畫 就好似你喺一塊窗上面畫完 再放另一塊窗喺上面繼續畫 然後再放另一塊 ， 層層疊咁 形成一個立體嘅作品	我開始在玻璃上作畫 ， 幾乎像是在窗戶上畫畫 ， 然後再疊上另一面窗戶 ， 再一面窗戶 ， 然後你把所有窗子都放在一起 ， 形成一個 3D 立體空間的組合 。
寒背	背微駝
個茶煲煲完水會好熱，唔好掂住。	水壺燒水後會很燙，先別碰。
但係 ， 你可以睇到心臟病同埋癌症 喺名單度仲要排後啲 咁係因為我哋依家講梗嘅係殘疾	但各位可以看見 事實上它們位於這張列表下方 因為我們所討論的是失能
眼界	準頭
喺疏散部署中，傷者應該獲得優先考慮。	在疏散計劃中必須優先考慮傷員。
佢唔鍾意喺晚黑揸車。	他不喜歡在晚上開車。
佢應該星期一再上庭。	他定於週一再次出庭。
大約喺1949年，唐君毅同埋錢穆呢批新儒家學者，咁啱生活喺政局混亂嘅時代，所以佢咃喺香港避難同埋生活。喺呢個時間佢哋就喺香港起左個新亞書院，就噉樣對香港中文大學做咗好多貢獻，於是佢哋就畀人視為宋代書院文化嘅延續。	1949年前後，包括新儒家學者唐君毅及錢穆等儒者均因時勢動蕩而居於香港，並在香港設立新亞書院，對香港中文大學的成立作出不少貢獻，並被視為宋代書院文化的延續。
探員	偵察員
咁你一日要花幾多個鐘來做呢啲嘢 ？	你一天花多少時間做這些 ？
佢事後去醫院驗傷，好彩冇大礙。	事發後，她立即到醫院檢查傷口。 幸運的是傷口並不嚴重。
落口供	錄口供
順得哥情失嫂意	兩邊不討好
你入去先啦	你先進去
我哋今次一輸就係輸十年	我們這次一輸就是輸十年
原地踏步可以減肥。	原地踏步可以幫助一個人減肥。
行花市	逛花市
舔啲辣椒醬	蘸上辣椒醬
聽日幾點鐘入場睇傑志對阿仙奴係最佳時間？	明天什麼時候去體育場觀看傑志對陣阿森納的比賽最好？
存款	存款
佢口口聲聲話自己係冇辜嘅，但係冇其他人可以證明到佢講緊真話。	他口口聲聲說自己是無辜的，但沒有人能證明他說的是真的。
但係嗰陣時我，我喺屋企附近嗰個私家牙醫度洗呢，人哋起碼幫你洗洗成真係幾個字𡃉用，即係真係洗得好乾淨囖，你係感覺到佢真係好細心噉幫你做。	但是那時候我，我在家裏附近那個私家牙醫裏洗呢，人家起碼幫你洗洗成真幾個字參用，就是真的洗得很乾淨，你是感覺到他真的很細心地幫你做。
唔怪得你打咁多思噎，飲成十支啤酒。	難怪你打嗝這麼厲害，你已經喝了十瓶啤酒了。
而家嘅社會比以前開放。	現在的社會越來越開放了。
佢响屋企攪攪震，我要翻去睇吓	他在家裡胡混，我要回去看看
電視台通知我去試鏡	電視台通知我去試拍
子明打羽毛球成日接唔住個波。	子明打羽毛球時，從來接不到毽子。
Tiffany今日開始放假嚹。	Tiffany 今天開始放假嫋。
你泊場泊街都落冚，部車會耐用啲呢！所以買個冚唔好貪平啊！	當您停在停車場或街上時，請務必在您的車輛上安裝保護罩。 車輛將持續更長的時間！ 所以大家在購買保護套的時候，千萬不要貪圖便宜！
我畀客戶睇我嘅設計時 通常客戶只有一個問題 ， 就係 ： 「 Mike ， 我要點多謝你先得 ？ 」	通常我就要做個簡報 ， 一般來説 ， 我做完成果簡報 他們只會問我一個問題 ， 那就是 「 麥克 ， 我該怎麽感謝你呢 ？ 」
情報	情報
唔係人人著直身裙都好睇嘅	不是人人穿西裝連衣裙都好看的
有啲香港女仔鍾意白人多過香港男仔。	一些香港女性比香港男性更喜歡白人男性。
啲頭髮剪到齊葺葺唔好睇	把頭髮剪得齊刷刷的不好看
（ 音樂 ） 多謝	（ 音樂 ） 謝謝 。
我跟住去咗一間好大嘅正場𢱕骨。	之後我去了一家很大的正規按摩院按摩。
都係星期五六晚好啲	還是星期五六晚好一點
女仔之家，喺嗰個鹹濕老細度打工好蝕底㗎，早啲劈炮啦。	像你這種給好色老闆打工的姑娘，很容易吃虧的，還是趁早辭職吧。
主角 ︰ 一齊嚟種嘢 ！	雷恩 ： 一起種些廢物 ！
準備好蛋糕點着洋燭	準備好蛋糕怎麼穿洋燭
賣魚佬沖涼	賣魚佬洗澡
佢咁做只係為咗佢嘅利益。	他這樣做是為了自己的利益。
飛行服務隊是人手最少的政府部門之一	飛行服務隊是人手最少的政府部門之一
你聽日交張簽咗嘅家長信畀我解釋點解你琴日冇返學。	明天給我一封籤字的家長信，告訴我你昨天沒來學校的原因。
語言唔係剩係用嚟傾偈 唔係齋係由我哋口裡面講出嚟嘅字	你們每個人都在自己腦海中畫了一幅畫
正確	正確
你仲好意思講啟德郵輪碼頭?	你還好意思說啓德郵輪碼頭？
我同意呢啲假設嗎 ？	我同意這個假設嗎 ？
站長室	站長室
唔得𡃉嚹。	不行贏。
考起	考住
我直頭要考慮同埋我男朋友分手	我直接要考慮和我男朋友分手
情況不妙啦。	事情看起來不太妙。
個賊仔無聲無息噉潛入咗我間屋。	小偷偷偷闖進了我家。
我學識當我作出細小而持續嘅改變 , 我能夠一直做落去嘅事情 , 佢地更容易成為習慣 。	我學到了 ： 當我做些小的持續性的改變 就是一些我可以持續做的事情時 這些事比較能夠有始有終
琴晚喺元朗度警察掃黃，拘捕十幾個娼妓。	警方昨晚在元朗展開掃黃行動，逮捕了十多名妓女。
呢啲都係我哋應該學習嘅地方！	這些也是我們應該學習的地方！
異喐	動靜
省	省份
深圳零售業嘅競爭大大影響咗本地零售業嘅生意。	來自深圳的競爭正在極大地影響當地零售企業的收入。
你咁𥹉懦幾時先做得完呀？	你這麼磨蹭啥時侯才幹得完呢？
消息係流嘅	消息是不真實的
今朝我落去中還時啲車塞到仆街啦！	今天早上，當我去中環的時候，交通堵塞了！
濟	濟
我咀佢一啖囉	我親了他一下
我知道你份人好老實	我知道你為人很老實
銀芽肉絲炒麵	銀芽肉絲炒麪
梗係喇。上集殺完人吖嗎，重敢返來咩？唔係喎上集，佢唔係乜嘢咩？佢唔係去咗外-，即係佢-佢應該要坐監咩？上集佢唔使坐監𡃉。	當然了。上集殺完人啊，還敢回來嗎？不是上集，他不是什麼嗎？他不是去了外-，就是他-他應該要坐牢嗎？上集他不用坐牢。
所以我哋都覺得 ﹐ 病人亦都或者想知道有關來龍去脈 。	當然 ， 病人也想知道這些內容實際上都是些什麽 .
郭富城	郭富城、香港歌手、演員
見證著北京奧運競標賽 。	北京競標奧運的舉辦權我有在場 .
每次見到紅色 Miata 經過 我都會諗起呢種偏見	每次見到紅色 Miata 經過 ， 我都會想起這件事 。
諗下計	想想辦法
瘋狂打機	瘋狂沉迷於電子遊戲
呢個星期我跑長課，一開始就覺得我冇咩力，真辛苦。	這週我進行了長跑。 一開始我就覺得我沒有任何力量。 我真的很痛苦。
呢幅圖咁經典	這幅圖這麼經典
佢開煤氣自殺，雖然俾人救番、冇生命危險，但係出現好多後遺症。	他試圖用煤氣自殺。 雖然他被救了下來，沒有致命的危險，但被發現有很多後遺症。
阿寶淨係飲咗一杯紅酒，就開始有啲醉意。	阿婆只喝了一杯酒就開始醉了。
阿美好信佢男朋友。就算佢同女仔睇戲，阿美都定過抬油！	梅相信她的男朋友。 即使他和女孩子一起看電影，她也很鎮定。
司機大佬唔該快啲，頭先喺銅鑼灣啟超道跌左部手機	司機哥哥拜託快點，剛纔在銅鑼灣啓超道丟了一臺手機
你影響到啲人啲工作嘅注意力啊。	你影響到人們一些工作的注意力啊。
探盤	摸底兒
勒	把住小孩
我哋繼續旅行 。	我們繼續旅程 。
重要嘅係要抹走每個人仔嘅特徵 等佢哋都睇起來一樣 ， 唔容易俾人拎清	將每個塑像的面貌去掉是重要的 ， 使它們看起來一樣且較易忽略其身份 。
一次又一次的讓我失魂落魄	一次又一次的讓我慌張落魄
上完體育堂，班房嗰陣體臭真係好惡頂。	體育課之後 上課了，教室裡的狐臭讓人難以忍受。
擸	佔有
教學大綱	教學大綱
思路	思維方式
個模型爛咗，同我揾啲萬能膠黐返佢。	模型壞了。 幫我用強力膠把它修好。
依法	依法
我哋好鍾意去呢個公園嘅湖度撐艇。	我們喜歡去這個公園在湖上劃小船。
咁短時間通知唔切	時間這麼緊來不及通知
呢條魚煎到爛晒，見到都唔開胃喇	這條魚煎得全散開了，看見就倒胃口
再加埋你生活中嘅事 加啲質感 家人朋友 一切令到你生活和諧嘅嘢 而喺你嘅歌裏面 就係和聲 抑揚頓挫 一切多音調嘅因素	你人生中的事物接著被加在上面 ， 產生了織體 ─ ─ 也就是你的朋友和家人 ， 以及任何在你的人生中 、 你的歌曲中 ， 創造出和諧結構的事物 ， 就像和聲 、 終止式 、 任何讓它複音的東西 。
呢個國家禁咗香口膠㗎。	這個國家禁止口香糖。
寵物醫院	寵物醫院
佢同我係老死。	他和我是非常要好的朋友。
醉酒鬧事	醉酒大鬧
使到佢冇氣唞 ，	奪走它的氧氣 ，
隻股票燶晒，一日跌咗三成。	該股一天內下跌了 30%。
七七八八	差不多了
以免它生入肉	以免它生嚴重
以我為例 ， 唔係講笑 到十九歲至食到真嘅菠菜同西蘭花	我就是其中一位 -- 我不是說笑 -- 我未曾吃過一個真正的菠菜或西蘭花 ( 花椰菜 ) 直至我十九歲
思	思考
特首辭職嘅謠言傳出之後，特首一直未有露面澄清。	特首辭職傳聞傳開後，特首一直沒有現身澄清。
佢又做得又捱得，係我哋部門嘅要員。	他工作努力又聰明，因此是我們部門的重要成員。
我們應該如何實現社會及政治改體 先至跟得上經濟上的增長 ， 同時又可持續穩定發展 ？	我們應該如何來實現社會和政治的改革 才能趕上經濟的增長 , 讓發展更持續和更穩定 ?
煮嘢食係佢嘅拿手好戲。	她擅長烹飪。
陽光同水份係植物所必需嘅。	光和水對所有植物都是必不可少的。
我今日見咗個久違嘅朋友。	我遇到了一個多年未見的朋友。
一個開	一下子、一瞬間
兩樣功課	兩個作業
牙軟	倒牙
啲筆記俾風吹走晒喇，快啲幫手執起佢啦！	紙條都被風吹走了，快幫忙撿起來吧！
嘩！今日咁多客仔！想唔發市都唔得！	哇！ 今天顧客真多！ 我們不能不做好生意！
經痛貼	緩解月經來潮的加熱墊
遲早畀人拉！	早晚要被逮捕了！
兩個人搭住膊噉行	兩個人搭著肩走路
正統	正統的
工程由1889年（光緒十五年）4月開始，到咗張之洞調離廣東陣，經完成咗天字碼頭第一段堤岸及官輪碼頭工程。呢段江堤長約120丈，堤岸填闊約5丈，路面鋪埋沙石。呢個係廣州第一條由華人整出來嘅馬路。	工程由1889年（光緒十五年）4月開始動工，到張之洞調離廣東時，已完成天字碼頭第一段堤岸及官輪碼頭工程。這段江堤長約120丈，堤岸填寬約5丈，路面鋪沙石。這是廣州第一條由華人修築的馬路。
壽板	棺材板
佢問 ： 「 你要一間定兩間睡房 ？ 」	您需要一房還是兩房的公寓 ？
我係部片嘅忠實擁躉 特別中意哈爾 9000	我愛上了這部電影裡的一切 ， 尤其是 「 豪爾－9000 」 。
好心機	細心
郊野公園義工計劃由漁農自然護理署與郊野公園之友會合作推行	郊野公園義工計劃由漁農自然護理署與郊野公園之友會合作推行
威勢	權威
佢想阻止網民批評佢	想要防止線上公民批評他
啱啱搬咗屋，屋苑暫時冇車位出租，要俾逼泊露天。	我剛搬家。 莊園暫時沒有停車位出租，只好把車停在外面露天。
係唔係即係西洋joke？	是不是就是西洋joke？
成 … 日	「 一 ... 整 ... 天 」 。
一張蠟紙印三五百份就閒閒哋咯	一張蠟紙印三五百份不在話下
要保養好架車，就要定期檢查五油三水。	保養這八種液體，讓您的汽車保持良好狀態。
理性	理性的
等於	等於
今晚老細萬歲喎，你做咩唔嚟呀？	老闆今晚請我們吃飯，你怎麼不來？
詳情	詳情
佢嘅優點係勤力。	吃苦耐勞是他的強項。
懶人多屎尿	用來形容一個懶惰的人，經常找藉口或假裝需要使用洗手間以在工作中偷懶
呢瓣嘢差佬𥄫得好緊要。	警察正在密切關注這項業務。
啱考完試，又試嚟數學競賽，氣都冇啖唞	剛考完試，又來數學競賽，想喘一口氣也不行
你幾時先得閒？	你什麼時候有空？
柏利圖法則	帕累托原則
可能喇，唔知啊。	可能了，不知道啊。
五個月前 ， 我喺北歐最大嘅大學醫院 主持一個工作坊	五個月前 我在北歐最大的教學醫院 主持了一個研討會 我在北歐最大的教學醫院 主持了一個研討會
以後無乜嘢唔好喺西貢走黎走去	以後沒什麼不要在西貢走來走去
好聲行吖，因住仆親呀	小心走，當心摔著了
佢係我大佬	他是我大哥
吸煙足以致命	死於吸煙
我好鍾意咁	我很愛做這練習 。
對其他同學不公道，也有損外界對香港大學生的看法	對其他同學不公道，也有損外界對香港大學生的看法
滘西洲石刻	滘西洲石刻
個酒店職員會幫你電召的士去火車站。	酒店工作人員將為您叫出租車前往火車站。
銀雪魚西京燒	銀雪魚西京燒
我呢關打極都過唔到，棘住咗喺度啊！	試過很多次了，還是卡在這個關卡。
小全章就其實都有限量𡃉，不過佢就限得來佢都印得嗰個發行量都幾大𡃉，又係幾乎你要幾多嘅，佢𠻺俾幾多你𡃉嚹。	小全章就其實也有限量，不過他就限得來他都能印那個發行量也多大，又是幾乎你要多少的，他攆給多少你贏。
個蛋糕係四方定圓形㗎？	蛋糕是方形的還是圓形的？
佢塊面圖沽碌好得意	他塊面圖沽滾動很可愛
肉地	皮膚
第二，自己想揾間個操場細啲嘅學校囖。	第二，自己想找間個操場小點的學校嫋。
呢場國際大賽係揚名立萬嘅好機會。	國際比賽是一個成名的好機會。
搵人	找人的
差唔多半數排放量嚟自建造業 能源用量方面 ， 情況都係差唔多	將近半數的溫室氣體和建築業有關 ， 能源消耗方面也同樣如此 。
原班人馬	同一批人
我同佢去小食部買啲嘢食，好鬼貴啊！	我陪她去小吃店買了點吃的。 太他媽貴了！
唯有原校重讀中五	只有原校重讀中五
間房咁空框框嘅？	為什麼這個房間是空的？
確切嚟講 ， 機器令到我哋最後變得更人性化而非技術化 ， 因為我哋一路都係度互相合作 ， 共同創造 。	真的 科技最終變得更人性化 因爲我們和科技互相創造對方
赤	赤裸裸的
所以又會帶定一大堆衫	所以又會帶定一大堆衣服
阿嬸，拍硬檔撐快兩步吖唔該	大嬸，拍硬檔支持快兩步啊謝謝
佢嘅髮型好時嘜。	她的髮型很時尚。
全世界埋位！由打劫嗰幕再拍過！	大家就位。 讓我們從搶劫現場說起。
破水囊	破水
神秘嘅定義好複雜	神秘就其定義而言 ， 複雜得多 。
麻鷹	鷹
食起嚟	吃起來
你去唔去嚟緊個聯校ball啊？	你會去參加即將到來的校際舞會嗎？
新淨	不舊
我呢排有運行，做親啲咩都好順利。	這些天我很幸運，因為一切都很順利。
出外便搵錢	外出謀生
呢座建築物見證住一段又一段嘅歷史，係歷史嘅印證。	久居此地，建築印證歷史。
食咁多荔枝好躁㗎	吃這麼多荔枝很容易上火的
以往靠廣告賺錢嘅經營模式成為絕響	支持新聞業的 廣告商業模式已經瓦解 。
你同我收聲！	給我閉嘴！
輔助宿舍	支援宿舍
呢個學生喺數學方面好有潛能。	這個學生在數學方面有很大的潛力。
朋友話佢發現老公去咗深圳叫雞，但係因為佢哋嘅感情都幾好，所以佢願意接受老公貪新鮮呢個理由喎。	一位朋友說，她發現丈夫去深圳嫖過妓，但因為他們的愛情很好，所以她願意接受他的理由，因為他正在嘗試新事物。
不如噉講啦	不如這樣說
佢擺明潤你！你咁都忍得？	他明擺着潤你！你這樣都能忍？
我系一個無神論嘅黑人小孩 就讀一間由修女掌管嘅全白人天主教學校 。	我是在我們由修女們管理的全是白人的 天主教學校的無神論的黑人孩子
行開	結束程式
一家飯店	一間酒樓
呢枝筆幾錢？	這支筆多少錢？
耐唔中	隔些時
我屋企個寬頻死咗。	我家的寬帶沒電了。
炸豬油	從豬油中提取油
牛腩	牛腰部的囊肉
強國人	中國大陸人
唔好啊。哩啲咁technical，冇興趣啊。	不要啊。這些這麼 tchnical ，沒興趣啊。
個棚架冧咗壓死咗十個人。	倒塌的棚架壓死了十個人。
我聽佢講嘢鬼聲鬼氣噉，原來佢係個香蕉仔。	我聽他這麼一口外國口音說話，原來是個生在海外的中國孩子。
的而且確	非常肯定
扮	扮演
唔忿氣	不服氣
邊個會知道大角咀海庭道邊間雲吞麵最好食	誰會知道大角咀海庭道哪一間餛飩麪最好喫
噉我唔阻你哋傾嘢啦	那我不妨礙你們談事情了
教授博學多才，談吐凸顯佢一身書卷味。	這位教授是一位博學多才的人，他說話的方式彰顯了他的博學。
廁所個奶膽換咗喇。	浴室的磨砂燈泡已更換。
係啊，但係佢-佢都趕唔切。佢三點鐘先考完。	是啊，但是他 - 他也來不及了。他三點鐘才考完。
四隻dee喺晒你度啦，你咁都笠水唔大佢？識唔識玩㗎你？	你有四個“二”，為什麼你通過了回合而不是玩它們？ 你知道怎麼玩Big 2嗎？
值唔值得係我自己決定	值不值得由我自己決定
天空飄過幾朵白雲。	幾團白雲飄過天空。
留言信箱	語音信箱
遠不及	遠比
每個「丁」都有丁權，可以向政府申請一生一次喺其所屬鄉村興建一所丁屋自住。	每一位新界男性原住民都有權興建一間小屋。 他一生可以向政府申請一次，在他所屬村的土地上蓋一間小房子，自己住進去。
善長仁翁	捐錢辦善事的人
創業初期 ， 我負責顧客服務 客戶電話會直達我手機	創業初期 ， 我負責客服 ， 那些來電會直達我的手機 。
我篤咗佢一下。	我戳了她一次。
相反方向	相反的方向
不如喺道諗下有冇嘢可以送俾媽咪	不如在道想着有沒有東西可以送給媽媽
佢唔係好聰明，不過佢就用勤力嚟搭夠。	她不是很聰明，但她非常努力地工作以彌補這一點。
你個modem啫。你條-你嗰條network唔快吖嗎。	你個 modem 而已。你這條 - 你那條 network 不快啊嗎。
拆穿	揭開
佢話唔想去行街喎。	他說他不想去購物。
新世界發展	新世界發展
我勸你諗清楚，唔好走倔頭路。	我勸你想清楚，不要讓自己陷入死胡同。
蛇頭	蛇頭、偷渡集團
象棋高手	中國象棋大師
高大上	高級、高檔、高端
消防員無懼火勢救火救人，實在令人佩服。	消防員滅火救人無所畏懼； 他們真的很欽佩。
佢嘅表情令我好困惑。	他的面部表情讓我感到困惑。
同佢一樣耐唔耐就會發書寒	跟他一樣時不時就會渴望看書
怕咗你喇！	怕了你！
政府安排專機接載滯留當地嘅港人。	政府安排包機接回滯留的香港居民。
細妹約左我去荃灣嘅上角山路食晏飲下午茶	小妹約了我去荃灣的上角山路喫午飯喝下午茶
我這年其中一樣美好的事 ， 就是守安息日 , 因為我是個工作狂 ， 當我有了這樣的一天 ， 當不能工作 -- 真的大大改變了我一生 。	我的這一年中的一件大事是守安息日 , 因為我是一個工作狂 , 所以有這樣一天 我不能工作 -- 這著實改變我的生活 。
講大話	撒慌
咁啲女仔點算 ？	女孩們怎麼辦 ？
就嚟	快要
你要小心啲佢呢個虛偽嘅人。	你應該提防這個偽君子。
義士好堅定咁回答	義士很堅定地回答
學生話佢知盛田街係喺大圍，但係唔知有冇小巴經嗰度	學生說他知道盛田街是在整體，但是不知道有沒有小巴經那裏
貓樣	難看的樣子
果占	果醬
羅宋湯有啲酸	俄羅斯紅菜湯有點酸
側近	身旁
海事處總部大樓	海事處總部大樓
呢種髮型好襯你嘅面型	這種髮型很適合您的臉型
壽木	棺材
誒……有-有-有一部分歌佢哋成日-呢度啲人成日唱嘅。	有些歌他們常常唱的。
喺會議途中 我哋可以分析個報告好唔好 諗下自己鍾唔鍾意個報告 跟住問問題	我們可能在一個會議期間 ， 聽別人的發言 ， 評價它 ， 決定我們是否喜歡它 ， 然後提出問題 。
檬	檬
其實點做都冇可能滿足大家的	其實怎麼做都不可能滿足大家的
你屋企人都幾戲劇化㗎啦	你家裡人倒挺戲劇化的
