炸彈同地雷比任何軍階大	炸彈和地雷比任何軍階大
嗰𠹻𡃴真係好難頂。	那氣味實在是讓人難以忍受。
我話 「 如果呢個蘋果係 嗰個有種植嘅好人 ， 你會點做 ？ 」	我說 ： 「 假如這蘋果代表那位 給種子的善心男士 ， 你會怎麼放這蘋果呢 ？ 」
番鬼仔	西洋小孩
十足	完全像
有兩個你嘅即係手下係平過你，加埋就已經做到你嘅嘢。噉你嘅競爭力就已經唔夠佢嘞。	有兩個你的就是手下是比你便宜，加上就已經做到你的東西。那你的競爭力就已經不夠他了。
豉油王蝦碌	醬油蝦
同我隊冧佢！	替我殺了他！
令呢種現象出現 全靠以前嘅科技 以至最近嘅 幾何級數發展嘅科技	鞏固這種現象的 是科技 是最近以來 快速發展的科技做出的貢獻
只要攞另外一支電筒出嚟，照住佢，佢就會著架喇	只要拿另外1000元電筒出來，照住他，他就會穿了
佢晚晚瞓覺前要媽咪講古仔畀佢聽。	每天晚上入睡前，他都會讓媽媽給他講故事。
你惹佢嘅話你就麻煩嘍！	得罪他就麻煩了！
佢哋兩個充其量只係哎吔師生關係。	他們兩人最多也就是某種師生關係。
光明頂：中國安徽黃山第二高峯。光明頂 (廣播節目)：香港商業電臺的一個廣播節目。光明頂行動：香港警務處為應對喺2014年發生嘅佔領中環以至演變為後來嘅雨傘革命而部署嘅行動之俗稱。	光明頂：中國安徽黃山第二高峯。光明頂 (廣播節目)：香港商業電臺的一個廣播節目。光明頂行動：香港警務處為應對於2014年發生的佔領中環以至演變為後來的雨傘革命而部署的行動之俗稱。
記得𠺘乾淨個口。	記得漱口直到干淨為止。
大家熟口熟面有問題唔怕講呀	大家那麼熟了，有什麼問題不要怕說出來嘛
我入咗中大lu，唔使再考DSE。	我已經被中大錄取，不用再考中學文憑試了。
所以我就盡我所能答佢	於是我盡我所能給了她一些建議 。
瞓醒嗰陣已經係夜晚十一點幾	睡醒的時候已經是晚上11點多
你幾耐去一次旅行？	你多久去一次旅行？
或者童年我所學到嘅陌生人 其實係等待我去認識嘅新朋友	可能我從小就被教導 該當成陌生人的那些人 其實可能都是尚待我們發掘的朋友 。
標準的高度自動化產品	標準的高度自動化產品
的士喺沙田禾盛街兜左幾個圈	出租車在沙田禾盛街兜了幾個圈
我實在唔識得點同佢哋相處。	我真的不知道如何與他們相處。
然而說到希望，	然而說到希望，
依排	依然
佢冇偷嘢啊！	她沒有偷東西！
因此部機畀你隨時隨地做分子組合	因此這就允許你快速地做同步分子組裝 。
當我仲係一個細路嘅時候 我父母同我講 ︰ 「 你可以將地方搞亂 ， 但你要執返好佢 。 」	當我還是一個小孩的時候 ， 我的父母會跟我說 「 你可以把地方搞亂 ， 但你要負責清理 。 」
咁橋嘅，咁都撞到你。	哦，撞到你的機會有多大。
落緊雨仲要趕住去半山區太子台打乒乓波	下着雨還要趕着去半山區太子臺打乒乓球
就手	順利
衰得你咁交關，噅佢做乜呀！	你下賤得這麼厲害，求他幹什麼！
我點知佢無啦啦發咩神經	我怎麼知道他沒了吧發什麼神經
問你驚未呀？	問你怕不怕？
阿媽教我唔好同街上便嘅陌生人搭訕。	媽媽教我不要在街上搭訕陌生人。
愛惜身邊人	愛惜身邊人
聽真啲	更仔細、更徹底地傾聽
本節目暫告一段落。	節目暫時告一段落。
多謝你同我哋傾計	謝謝你今天可以站在 TED講台上和我們分享 。
香港人一定要抗爭到底	香港人一定要抗爭到底
一式	一式
古碑中也遇不到什麼問題和主義，	古碑中也遇不到什麼問題和主義，
佢條呔係藍底白點嘅。	他的領帶是藍色的，上面有白色的圓點。
冇嘢講	沒話好說
垃圾佬	撿垃圾
打完波成身都罨晒汗，好想去沖涼啊。	球賽后我渾身都是汗。 我真的很想衝個澡。
語源學	詞源
裝身	打扮
噉掂喇。	這樣弄好了。
你想搵我呀？咩料啊？	所以你想來看我？ 你想要什麼？
壽木	棺材
有啲波迷用十幾二十蚊賭波。	一些足球迷在足球比賽中下注 10 到 20 美元。
攬	圍
箭嘴	箭
我諗呢樣嘢好難講嘅，嚤囉差拜神，睇天啦。	我覺得這種事情很難說什麼，所以只能聽天由命了。
基本上 ， 要聆聽自己 ， 平靜落嚟	基本上 ， 聆聽自我
我認為呢種恐懼唔成立	我認為這種恐懼只是杞人憂天 。
所謂藍色碳 係指海洋同大氣層之間嘅流動 好欣慰 ， 藍色碳差不多係收支平衡	值得慶幸的是 ， 通量 ， 換句話說 ， 排放的流向 從海洋到大氣中 ， 再從大氣到海洋中 或多或少都是平衡的
四無量心通於有漏同無漏，同七覺支ㄧ齊修行，可達到解脫。天台智者認為，四無量心可對應四禪定嘅境界。悲無量心，對應初禪。喜無量心，對應二禪。慈無量心，對應三禪。到四禪時，就要採取捨無量心。	四無量心通於有漏與無漏，與七覺支合併修行，可達於解脫。天台智者認為，四無量心可對應四禪定的境界。悲無量心，對應於初禪。喜無量心，對應於二禪。慈無量心，對應於三禪。至四禪時，則應採取捨無量心。
佢成日都笑吟吟	他老是笑嘻嘻的
我哋設計冇考慮咩人 ？	我們設計時忽略了誰 ？
第尾	第末
粉葛鯪魚湯	葛根鯪魚湯
佢每晚都同女朋友煲幾個鐘電話粥㗎。	他每晚都會花幾個小時與女友通電話。
我睇開日劇，韓劇唔係咁啱我口味	我一直看日劇，韓劇不是這麼巧我口味
距離	距離
原來 , 30 日嘅時間啱啱好 夠養成或者戒除一個生活上嘅習慣 - 譬如話 睇新聞報導嘅習慣 。	事實證明 三十天剛好是一段合適的時間 在你的生活中去養成一個新的習慣 或改掉一個習慣 -- 例如看新聞
佢唔理你，你吹脹佢呀？	他不理你，你能奈他何嗎？
我哋唔侵男仔玩㗎。	男孩不能加入我們。
呢個人渣謀財害命，抵佢坐足一世監啦！	這個惡人為財殺人，活該在監獄裡度過餘生！
起價	漲價
即使非洲大部份地方將同性戀視為罪行 同性戀非洲人依然存在	酷兒 （ 譯註 ： 同性 、 雙性 、 變性者 ） 非洲人仍然存在 ， 即使現在在這塊大陸上大部份 地方都把酷兒視為犯罪 。
呢個計劃唔錯喎。	這個計劃不錯。
一樖菜	一頭蔬菜
順道返鄉下啊。即係佢哋搭車呢，經過嗰隻呢。	順道返鄉下啊。就是他們乘車呢，經過那隻呢。
嗯，係喇，佢就係靠，即係睇咗嘞，重係親眼睇咗嘞，噉佢就信嘞。不過耶穌又點講啊？	嗯，是啦，他就是靠，就是看了，還是親眼看了，那他就信了。不過耶穌又怎麼說啊？
高粱粟	高粱米
好啦 ， 咁好多人其實都熟悉 傳統嘅二人手指公摔角	好的 ， 大部份的人都對 傳統的兩人拇指摔角很熟悉
我捱足幾晚通宵先寫好個報告。	為了完成報告，我通宵工作了好幾個晚上。
千祈唔好租嗰間度假屋呀。	不要租那個度假公寓。
一句鐘	一小時
但我仍然向佢保證 我會盡一切努力令佢更加舒服 我帶咗佢一張毯同一杯咖啡	但我有責任確保 盡量讓她維持在舒適的狀態 我幫她多加一件被子 給她一杯咖啡
我哋只有technical同埋乜嘢…	我們只有 tchnical 和什麼 ...
發生校園打鬥事件	校園裡打起來了
諗縮數	為自己打如意算盤
睇住住喺我附近嘅人肚餓咁生活 令到我好唔好意思 呢件事亦都令我堅定我所做嘅嘢 有啲人會問我 ： 「 乜你唔驚 啲人嚟偷你啲食物咩 ？ 」	讓我感到慚愧的是看到有人 離我這麽近還在挨餓 ， 這更增強我的行動決心 ， 然而有人問我 ， " Fin ， 難道你就不怕 人們會來偷你的食物 ? "
你係局內人喎，我唔信你唔清楚成件事係點囉。	您是本次活動的知情人； 我不相信你對正在發生的事情一無所知。
士多啤梨糯米糍蛋糕	小商店梨糯米餈蛋糕
字	每五分鐘
老婆仔	對妻子的親密稱呼
五年級	五年級
頭先你去咗邊？	你剛才去哪兒了？
妍	妍麗
肥頭耷耳	肥頭大耳
佢成日同你傾偈，多少都對你有啲好感嘅。	他總是和你說話，我覺得他有點喜歡你。
我所有感官都醒覺充滿活力 就好似一個初生嬰兒一樣 --- 感覺到合一性 。	我所有的感官都警覺而有活力 就像一個初生嬰兒一樣 感受合一性
今個月責咗好多貨	這個月積壓了許多貨
個車站連個簷蓬都無，落雨咪死？	這個車站連屋頂都沒有，下雨怎麼辦？
違者會被檢控。	違者將被起訴。
聽日晚市堂食恢復返	明天晚市堂喫恢復回來
執媽	執仔婆
啲人走晒咁滯喇	那些人差不多走光了
絲母	螺母
系數	係數
一行出去就係泳池，再行出啲就係沙灘。	一行出去就係泳池，再行出Ｄ就係沙灘！
啲餸宿咗	那些菜餿了
我愛你。	我愛你。
呢張紙好豆泥	這張紙質量很差
得閒就秘撈吓，幫補吓家用	有空就搞點兒外快，補貼一下兒家裡的開支
海事處總部大樓	海事處總部大樓
安提瓜	安地卡
年長嘅一輩	老一代
我同你將個喼擺喺行李架上便	我幫您把箱子放在行李架上
轉一丁加四蚊	只需 4 元即可升級到出前一丁方便麵
好咬口	口感好
走佬啊。	跑路啊。
條路太窄，冇避車嘅地方。	這條路很窄，沒有空間讓汽車靠邊讓另一輛車通過。
所以呢一點係非常重要嘅 。	所以 ， 這是很重要的 。
外圍馬	非法賭馬
有個老人去左荔枝角永德路食齋	有個老人去荔枝角永德路喫素
我逐個逐個搵	我去了一個又一個 。
阿寶淨係飲咗一杯紅酒，就開始有啲醉意。	阿婆只喝了一杯酒就開始醉了。
阿明買咗啲貓糧諗住攞去餵流浪貓。	阿明給野貓買了些貓糧。
荷塘月色	月光灑在荷塘
而家咪好興話剪到好短噉？	現在不是說很流行剪得很短這樣子嗎？
打親電話搵佢都搵唔到	每次打電話找他總找不著
佢好貪心㗎，去食餐飯都sa咗人哋套刀叉。	他太貪心了，吃飯的時候還從餐廳拿了一套餐具。
唔好見有錢收就袋袋平安，因住老廉告你受賄啊！	不要接受未經適當考慮就提供給您的任何金錢，並提防廉政公署這可能會指控你受賄！
覺得孤單	感到孤獨
佢做嘢好嚴。	他工作時從不開玩笑。
黃色圓點 代表同母樹有連繫嘅樹苗 森林裡面 一棵母樹可以連繫住過百棵樹	如果你們可以看到那些黃色的小點 ， 那些就是在年邁的 母親樹網絡中形成的幼苗 ，
當我見到啲小朋友喺街上面乞食嘅時候，我覺得好悲哀。	當我看到一些孩子在街上乞討時，我感到非常難過。
佢當住我面嘅時候就好好，但係背住我嘅時候就講我壞話。	他表面上對我很好，背地裡卻說我的壞話。
趁後生試多啲唔同嘅嘢。	趁著年輕，嘗試不同的事情。
佢好鍾意坐邊邊位。	他喜歡坐在角落裡。
依張向影得好啲	這裡是張更清楚點的照片
該煨嘍！你未結婚就俾人搞大咗個肚？	多麼可怕！ 你結婚前懷孕了？
乜事嘈得咁交關？	什麼事吵得這麼厲害？
嗰次喺荔枝角吉利徑見到有雞蛋仔格仔餅賣	那次在荔枝角吉利徑看到有雞蛋格子餅賣
佢幾鍾意飲酒。	他真的很喜歡喝酒。
我阿媽好鍾意打麻雀。	我媽媽喜歡打麻將。
多謝你撥冗接受呢個電話調查。	感謝您抽出時間參與本次電話採訪。
的士喺屯門稔灣路兜左幾個圈	出租車在屯門稔灣路兜了幾個圈
一個人掗兩個位	一個人霸佔兩個位子
我無法運轉嘅自我 卻可以融入到 不屬於我自己的自我 。 黎種感受實在太好啦 。	我無法運轉的自我 卻可以融入另一個 不屬於我自己的自我 那種感覺好極了
呢件衫貴過嗰件少少。	這件襯衫比那件貴一點。
三步擸埋兩步走上二樓	三步並作兩步跑上二樓
呢個就係我哋做嘅方式	然後這是我們工作的方式
中國神話	中國神話
公帑	公款
每個人都有失敗 但失敗唔應該阻止你向前嘅	事實是就算你失敗了 這也不該讓你停止 把科學推陳出新
而係人類用過之後先會被接受 。 因為佢係為滿足人類所需而創造嘅 。	一項科技之所以會被人們採用 是因爲有人用 ， 是因爲那是順應人性的設計 。
身份證副本	身份證複印件
周身蟻	引火燒身
你返去先啦，我再行多一陣。	你喜歡就先回去吧，我想多逛一會兒。
自然會累隊友滿場飛	自然會累隊友滿場飛
我一秒就可以砌低你啦！	我彈指之間就能打敗你。
但係如果中國入唔到哩個決賽週呢？	但是如果中國進不了這個決賽周呢？
今年雨水充足。	全年降雨充足。
小巴佬	小巴司機
臨記	群眾演員
買個噉嘅電話，跟住返來要刨咁多說明書，你制唔制？	買個這樣的電話，接着回來要刨那麼多說明書，你願不願意？
但係中國環保部公佈嘅數字係 50	而這是環境部的資料 ， 只顯示 50
所以 ， 這是我快樂的秘訣 ， 只是去記得我來會場的途中 ， 車子沒有翻掉 ， 我沒有在上樓梯時滑倒 ，	所以 , 這是幸福的秘訣 , 對我來說 , 只要提醒自己 ： 當我來這裡的時候 車子沒有翻覆 , 我沒被階梯絆倒 。
韓式糖醋雞球	韓式糖醋雞球
它並不是一本隨天上掉下來的書 。	而不是一本從天上掉下來 、 已經寫好的書 。
老奉攞嘅。即係噉樣，𠻺全部都係噉。	老奉拿的。就是這樣，全部都是這樣。
好多人唔知㗎。	許多人不知道。
你唔好滾我喎！	別想騙我！ /你別胡說八道！
呢個霖法一啲都唔奇怪 . 我請你梗係要信你嘎啦 。 386 00 : 15 : 09,000 -- & gt ; 00 : 15 : 12,000 我準備畀支咪你 .	這真是奇怪的想法 我雇用了你 我就該信任你
想像吓 ， 如果你將哩兩個想法混埋一齊 。	如果你願意再想像一下 , 把這兩個例子擺在一起 。
保險公司有機會會拖欠賠償。	保險公司可能不會按時支付您的賠償金。
佢成日講大話。	她總是說謊。
邊處	何處
你做嘢做得咁慢仲話聽日就會搞掂晒？咪講嘢啦你！	你說你這麼慢明天就能完成所有的工作？ 不要高估自己的能力！
我喺一間傑出文科大學畢業之後 大約有五年時間 我日頭嘅工作係咁 （ 笑聲 ）	差不多五年以來 自從我從一所著名的文科大學畢業後 這就是我的工作
十點半	十點半
敍述案發經過	敘述/敘述事件/案件的過程
大家一齊頂住	大家一起頂住
我會講五個字 ， 你哋要記著佢	我會給你們五個詞 ， 我要你們記住這些詞 ，
周身屎	名聲很壞
腦囟	囟門
我有份演呢部劇。	我參加了這部肥皂劇。
啲蝦熟咗之後會變色。	蝦煮熟後會變色。
畀人攞麻包袋笠住個頭	讓人用麻袋套住腦袋
你同你啲同事好唔好啊啲關係？	你跟你這些同事好不好啊的關係？
喺2016年4月30日，中視報道遊戲橘子即將投資電獺公司。報道稱：鴻海郭臺銘曾想以每股三位數代價買下電獺股東手中喺45％股權，更傳出電獺四度拒絕郭臺銘投資。美國硅谷創投公司爭相入股，最後都係失敗告終。最終遊戲橘子脫穎而出，準備投資電獺公司。	2016年4月30日，中視報道遊戲橘子即將投資電獺公司。報道稱：鴻海郭臺銘曾想以每股三位數代價買下電獺股東手中45％股權，更傳出電獺四度拒絕郭臺銘投資。美國硅谷創投公司爭相入股，最後都以失敗告終。最終遊戲橘子脫穎而出，準備投資電獺公司。
接受集訓	接受培訓
你係醫生吖嗎？	你是不是醫生？
魚腐扒菜膽	上海菜紅燒魚腐
（ 笑聲 ） 好多人都低估咗 、 忽略依個健康風險 噪音好明顯會影響我哋嘅聽力 而且仲會引起戰鬥或逃跑反應	（ 笑聲 ） 這是一個真正被低估和不被重視的健康危害問題 -- 不僅是因為它顯然是損害我們的聽力 ， 但它實際上是發起了 攻擊或逃離的反應機制 。
我發現你穿不暖	我發現你穿不暖
資助視乎收生人數而定。	資助金額視錄取學生人數而定。
其實這種道理	其實這種道理
吸濕劑	乾燥劑
佢蘇咗對孖女。	她生了一對雙胞胎女孩。
我唔知佢嚟唔嚟。	我不知道她會不會來。
時菜班腩飯	時菜班腩飯
躋身總決賽	進入最後一輪比賽
佢發現對手並非等閑之輩，於是開始專心應戰。	他意識到自己的對手不是普通人，開始專注於他們的比賽。
混淆視聽	擾亂輿論
我哋啱啱搵到一嚿木炭 然後開始喺洞穴裏邊 畫第一幅線條圖畫	我們好不容易找到木炭 ， 並開始在我們的山洞裏 畫第一個圖案 。
而地面層就係坑狀小巴總站。另外市建局喺近物華街入口嘅扶手電梯裝設咗10部無扇葉通風裝置，以加強鮮風進入站入面，稱可以增加4倍鮮風量，同時為車站降溫攝氏1.2至2.2度。另外嗰度預留咗3個位，方便日後安裝電動小巴嘅充電設施。	而地面層則為坑狀小巴總站。另外市建局在近物華街入口的扶手電梯裝設了10部無扇葉通風裝置，以加強鮮風進入站內，稱可以增加鮮風量4倍，同時為車站降溫攝氏1.2至2.2度。另外該處預留3個位置，方便日後安裝電動小巴的充電設施。
鈒骨機	包邊兒機
碎銀	散銀
多謝 （ 掌聲 ） 多謝 嚟到呢裡真係好幸運 。 多謝	謝謝 。 ( 掌聲 ) ( 掌聲 ) 謝謝 。 非常幸運能夠站在這裡 。 謝謝 。 ( 掌聲 )
淨係呢度就唔止呢個數啦	光是這兒就不止這個數了
餅家	餅店
聲紋認證	聲紋識別
鎖匙窿	鎖眼兒
佢想做CEO？睇返自己有咩quali先啦。	什麼，他想當總裁？ 他需要對自己的資格進行現實檢查。
克羅地亞	克羅埃西亞
笑淫淫同佢講	笑淫淫跟他說
咪喐嚟喐去！	別動來動去！
佢好奸賴，唔好同佢玩。	他不守規矩，所以不要和他玩。
卅	三十
你洗唔洗咁認真啊？	你洗不洗這麼認真啊？
表格嘅背面	表格的反面
你可唔可以唔好郁身郁勢啊？好煩啊你。	你能別鬧了嗎？ 這太煩人了。
係囖。佢就話沙律吧嗰啲唔好食囖。所以你下次去PizzaHut呢唔好食嗰啲嚹。	是淘氣。他就說沙拉吧那些不好喫。所以你下次去披薩 Hut 呢不好喫那些嫋。
呢個籃球唔夠衡	這個籃球不夠脹
當我哋落水 ， 落到十米左右 紅光會消失	當我們潛入水下 ， 十米開外 ， 紅光就完全消失了 。
畀親戚撞到我一個人喺吉野家食飯，堅係老尷。	我的大家庭看到我一個人在吉野家吃飯。 真是尷尬。
雖然上次我累隊波輸咗，但係我希望你畀次機會我戴罪立功。	上一場比賽的失利都是我的錯。 我希望你能給我一個機會在下一場比賽中贖罪。
呢兩日同女朋友攪過嘢，兩次都冇戴DOM，點知今朝去洗手間個時發現自己龜頭生咗紅色粒粒。	這兩天我和女朋友一起做過，兩次都沒有戴套，今天早上上廁所的時候驚奇的發現陰莖頭上長了紅疙瘩。
我哋係同埋做嘢嘅工友。	我們是一起工作的工廠工人。
扒頭	超越到前頭
美好	美好的
幾時啊？	什麼時候啊？
「 畀你個標誌 ， 一幢門一個 。 」	「 這是你的 ， 這兩扇門都給我掛上 。 」
交響樂團	樂隊
隔夜油炸鬼	隔夜油條
呢間公司實力雄厚。	本公司實力雄厚，資源豐富。
我個身卡住咗，出唔返嚟呀！	我的身體被卡住了。 我出不去！
情願錯過白天黑夜拉長一點	寧可錯過白天黑夜拉長一點
有為僱員設立獲強積金豁免的職業退休計劃的僱主，可為參與其職業退休計劃的僱員申請工資補貼	有爲僱員設立獲強積金豁免的職業退休計劃的僱主，可爲參與其職業退休計劃的僱員申請工資補貼
你好高喎。	你很高。
冇瓦遮頭	無立錐之地
你嘅新存摺已經攪掂，歡迎下次再嚟	您的新存摺已經開好，歡迎下次再來
拉布拉多獵犬體格健壯	拉布拉多獵犬體格健壯
多蒙特？	多特蒙德？
保存古物	為保護歷史文物
明明佢四點鐘就走得，但係佢成六點鐘先至走。	明明四點就能走，可是他走的時候已經快六點了。
趨吉避凶	順其自然，遠離危險
佢咁厚粉，就算係爛面都睇唔出啦。	她的妝化的很濃，看不出來她的臉下面是不是全爛了。
扭過去隔籬台	切換到另一個頻道
股經	股市評論
重身	比重大
過咗一個鐘 我拉低個車窗 睇下隻灰熊喺邊	一小時過去了 ， 我把車窗搖下來 ， 我看看棕熊媽媽在哪裡 。
你呢件褸薄英英噉，睇落好快會爛。	你的夾克太薄了，看起來快穿破了。
未啊。我嗰陣時我收到你call𡃉嚹，喺學校喺街嗰度，噉但係…	沒有啊。我的時候我收到你打電話，在學校在街那裏，但是...
天時冷就著多件衫啦。	在這種寒冷的天氣裡多穿一件夾克。
你要聽我講晒先。	你得聽我先說完。
現金	現金、現鈔
實要	一定需要
電話訪問	電話面試
你班友聽住呀	你這幫傢伙聽着啊
啱啱入職，如果你老細唔睇你台戲，代表你冇運行，可以收皮。	作為一個新手，如果你的老闆不欣賞你的表現，你就不會有好日子，這意味著你完蛋了。
我係拎住佢畀嘅地埗搵到呢處嘅	我是拿著他的地址找到這兒的
有啲同學會玩捉伊人	有些同學會玩捉伊人
請問邊個住喺西半山夏蕙苑	請問誰住在西半山夏蕙苑
今年港姐啲佳麗冇個掂攞。	香港小姐選美的選手沒有一個是好的。
串串貢	不停地羞辱和挑釁
啲豆腐腍啤啤好難夾	這豆腐軟綿綿的不容易夾起來
對唔住，我認錯人喇。	對不起，我錯認你是我的朋友了。
我忙到死，邊有你咁風流吖？又養魚又種花？	我總是很忙，哪裡有你養魚養花的閒暇？
全盛時代	黃金年齡
張書枱未擺得穩，仲係岌岌貢	書桌還沒擺穩當，還搖搖晃晃的
後底爺	後爹
你架車咁樣撞埋嚟，想收買人命咩？	你的車往這邊撞了，你是在殺人嗎？
總量	總量
盤生意賺好少錢，一畀人走數就執得。	由於利潤率低，如果對方不償還債務，企業很容易倒閉。
佢成日坐喺度但要一眼關七。	他整天坐在這裡，但必須保持警惕，密切注意一切。
我決定放棄。	我已經決定放棄了。
佢話 ： 「 會 ， 老師 ， 我可以做得好啲 。 」	他說 ： 「 會 ， 老師 ， 我能做得更好 」
呢單生意幾大都照殺	這樁生意無論如何都要接下來
警察對呢個隱形殺手冇晒符。	對於這個神秘的殺手，警方完全束手無策。
場景二 ， 消滅所有人類	情景 B ： 100 % 的人類會消亡 。
我虔誠遵守呢啲風俗約束已經 13 年 直到我跟自己嘅伴侶 Tuhin 討論過 至永遠改變對月經嘅睇法	因信仰的緣故 ， 我服從 這些規範十三年之久 ， 直到一次我跟夥伴杜辛深談 ， 才永久改變了我對月經的概念 。
佢講嚟講去咪又係三篤屁。	不管他說多少，他只是在重複自己。
講係噉講，至怕有心裝冇心人啫。	你說的可能是真的，但我最擔心的是有人可能給我們設下了陷阱。
我唔識拯救世界呀 ， 呢件事無人做得到	我無法拯救世界 , 沒有人可以 。
我覺得咁多年睇下人哋啲榜呢，我覺得我哋嗰年-我哋哩一年個榜最好啊。即係translate嗰度啲同學最多。	我覺得這麼多年看看人家點榜呢，我覺得我們那年- 我們這一年個榜最好啊。就是translate那裏的同學最多。
人龍	排隊的隊伍
冷飯	剩飯
啲雀鳥係靠潛落水底搵食物	因為這些鳥類為了生存 ， 必須潛到水下覓食 ，
你睇呢度	你可以看到
頂！部機又壞咗。	該死！ 該設備不再工作。
頭先我去廟街睇掌相，有少少俾呃嘅感覺。	剛才去廟街看手相算命，隱約有被騙的感覺。
每個星期日朝早，我都會特登早啲起身去麥記食班戟。	每個星期天，我都會早早起床去麥當勞吃煎餅。
行行出狀元	一個人無論在哪個領域都可以成為傑出的人。
我未見過人民幣匯率跌得咁緊要。	我從未見過人民幣匯率跌幅這麼大。
還我河山	把我們的國家還給我們
宜家 ， 網路工具 令呢種歌手同樂迷之間嘅交易 同喺街頭求助一樣直接 、 簡單 而且呢種轉變就快成為潮流	那些讓交流像在街頭一樣 變得更簡單 ， 更自然的網路工具 正在慢慢進步
學習應該由根本開始。	學習要從基礎做起。
啲鸚鵡啊，了哥嗰啲噉樣，喀。	一些鸚鵡啊，親哥那些這樣，喀。
黐線𡃉。一定㗎？	神經病。一定的？
小朋友有時手多多搞下啲杯杯碟碟，最好咪畀佢哋亂嚟啦。	有時孩子們可能會玩杯子和盤子。 我們最好不要讓他們衝動行事。
衰女	小賤人
呢吓中場抽射都幾近磅。	這個中線射門相當接近。
尋日有無經過元朗馬屎埔	昨天有沒有經過元朗馬屎埔
早死早着啦你！	去死吧！
排長龍	排長隊
飲茶	下館子
譬如話係去養老嘅話呢，噉曼-曼撤斯特就唔係一個好好養老嘅地方來𡃉。噉好多譬如話佢去咗英國其他嘅地區定居啊，或者係去咗倫敦啊譬如噉講喇。	譬如說是去養老的話呢，這樣曼-曼撤斯特就不是一個好好養老的地方來。很多譬如說他去了英國其他的地區定居啊，或許是去了倫敦啊譬如這麼說了。
賽龍舟	龍舟賽
收吓把口好喇	你住口！
水災頻仍	頻繁的洪水
無任何動靜喎	沒有任何動靜
以下嘅話劇係由我哋嘅學生自編自導自演。	以下戲劇由我們的學生編劇、導演和表演。
同你相與咁耐，仲唔知你脾性咩？	和你相處了這麼久？還不知道你的脾氣嗎？
佢又做得又捱得，係我哋部門嘅要員。	他工作努力又聰明，因此是我們部門的重要成員。
粵語書寫並唔係新事物	粵語書寫並不是新事物
寂寞寒窗空守寡	寂寞寒窗空守寡
半年	半年的
老豆話我細個嗰陣好鍾意同佢拖住手去行街。	爸爸說，我小的時候就喜歡牽著他的手到處溜達。
唔在意	不留心
揭盅	放榜
當有大規模疫情嘅時候 更加需要幾十萬嘅人員	而一場大型的流行病需要 我們數十萬名人員待命 。
呢句好笑過幅圖	這句話比那圖片還好笑
親家郎	抬儀仗的人
計劃	方案
龜背	厚背心
有票，真係唔要？	你的選票，不要扔掉
我真係冇你咁老襯呀！	我才不像你這麼傻冒呢！
一般嚟講，氮氣冇辦法燃燒或者助燃，但對於鎂嚟講，佢可以助燃。	一般而言，氮氣不可燃亦不可助燃，但是對於鎂來說，它可以助燃。
跑馬都好容易𡃉。你只要日日睇…	跑馬也很容易贏。你只要天天看 ...
間唔中我同啲朋友好鍾意去水庫揩嘢，食吓啲丸仔噉，揩大咗喺度大叫都唔會有人理。	有時我和一些朋友喜歡去水庫吸毒，比如吃藥。 在我們變得興奮之後，我們可以尖叫而其他人不會注意到。
寵物醫院	寵物醫院
十點喇！仲唔起身！	已經十點了！ 你還沒有起床嗎？
但係有人讀四科𡃉咋喎我見到。	但是有人讀四科而已啊我看到。
你再講我同你反面㗎！	你再這樣說話，我就不跟你做朋友了！
田	田地
另一組要諗下寂獨	另一組被要求思考 孤獨
佢媽媽係文盲，要人幫手覆佢啲信。	他的母親是個文盲，所以她需要別人幫助才能給他回信。
任何主權嘅本源實質上存在於全體國民之中。	任何主權的原則本質上都在於國家。
所以都-都幾得意𠸏。後尾抽到喎。真係嘺嘞。	所以也 - 相當可愛嫋。後來抽到啊。真擼了。
含含胡胡的答道，「不……」	含含胡胡的答道，「不......」
因為咁樣令我哋對機器有獨特嘅見解 知道乜嘢機器可以做 同乜嘢唔可以做 乜嘢工可以自動化同乜嘢工受到威脅	所以我們可以從獨特的角度 來觀察機器可以做什麽 、 不可以做什麽 。 哪些工作可以被自動化或者受到威脅 。
佢咬我一啖。	他咬了我一口，或者他咬了我一口。
然後將佢哋種喺門口嘅花盤 、 前院	可種在門階上的花盆裡
佢父母成日催佢結婚，但佢自己就懶懶閒。	父母總是勸他結婚，他自己卻並不著急。
習總老婆補粉補過籠，搞到塊面一撻撻。	習主席夫人撲粉，化妝出醜事。
神主牌	親人的靈牌
葵芳地鐵站囖。	葵芳地鐵站淘氣。
我家姐同我講，佢公司一向唔俾佢地咁做	我姐姐跟我說，他公司一向不讓他們這麼做
八號風球好大風，將軍澳環保大道依家橫風橫雨	八號風球很大風，將軍澳環保大道現在橫風橫雨
嗰個太子爺將佢爸爸留俾佢嘅遺產都使得一乾二淨。	那個花花公子花光了他父親給他的所有遺產。
香港製造從此退出歷史舞台	香港製造從此退出歷史舞臺
發泡膠	保麗龍
以前屋企窮，我就俾呀爸賣咗去做童養媳。	我們家經濟困難，父親不得不賣掉我當童養媳。
係。噉就即係唯有即係辛苦各位聽眾呢，聽埋哩隻歌先。	哦 對。那就就是隻有就是辛苦各位聽衆呢，先聽這個歌。
還是一直從前的事。	還是一直從前的事。
個殺人犯親手終結咗佢妹妹嘅性命。	兇手親手殺死了他的妹妹。
幾個後生仔突然間同嗰啲古惑仔炒大鑊。	幾個小伙子頓時和那些小流氓起了爭執。
